,name,error,time_taken,left_rank,right_rank,tensor_rank,sketch_rank,run,error_func,rank
215,STTA+3,1.0157042481655492e-06,0.706885812105611,80.0,83.0,100.0,80.0,0.0,tt_error_func,
216,STTA+3,2.2148155148484238e-07,0.7442702678963542,85.0,88.0,100.0,85.0,0.0,tt_error_func,
217,STTA+3,7.617511226891594e-08,0.8164336842019111,90.0,93.0,100.0,90.0,0.0,tt_error_func,
218,STTA+3,2.11852777272638e-08,0.940789092797786,95.0,98.0,100.0,95.0,0.0,tt_error_func,
219,STTA+3,1.5170131841281693e-12,0.9364452450536191,100.0,103.0,100.0,100.0,0.0,tt_error_func,
220,STTA+3,2.528384694648232,0.31719613214954734,5.0,8.0,100.0,5.0,1.0,tt_error_func,
221,STTA+3,1.1910565980081202,0.3939740068744868,10.0,13.0,100.0,10.0,1.0,tt_error_func,
222,STTA+3,0.6435289038523431,0.4860112250316888,15.0,18.0,100.0,15.0,1.0,tt_error_func,
223,STTA+3,0.24922071996912773,0.4508144420105964,20.0,23.0,100.0,20.0,1.0,tt_error_func,
224,STTA+3,0.09429205267053749,0.4527935029473156,25.0,28.0,100.0,25.0,1.0,tt_error_func,
225,STTA+3,0.030218883245344646,0.5497774339746684,30.0,33.0,100.0,30.0,1.0,tt_error_func,
226,STTA+3,0.012720372676812494,0.5429552169516683,35.0,38.0,100.0,35.0,1.0,tt_error_func,
227,STTA+3,0.005010826043803676,0.6424973858520389,40.0,43.0,100.0,40.0,1.0,tt_error_func,
228,STTA+3,0.002378991229248053,0.6547546980436891,45.0,48.0,100.0,45.0,1.0,tt_error_func,
229,STTA+3,0.000544717942684559,0.7962741928640753,50.0,53.0,100.0,50.0,1.0,tt_error_func,
230,STTA+3,0.0002063207631953842,0.7184886878821999,55.0,58.0,100.0,55.0,1.0,tt_error_func,
231,STTA+3,7.129070197143975e-05,0.5740121309645474,60.0,63.0,100.0,60.0,1.0,tt_error_func,
232,STTA+3,1.6016457546552757e-05,0.6708099541720003,65.0,68.0,100.0,65.0,1.0,tt_error_func,
233,STTA+3,6.745476538813253e-06,0.7066181909758598,70.0,73.0,100.0,70.0,1.0,tt_error_func,
234,STTA+3,2.234643990873857e-06,0.8301242180168629,75.0,78.0,100.0,75.0,1.0,tt_error_func,
235,STTA+3,6.622566323235607e-07,0.7180192170199007,80.0,83.0,100.0,80.0,1.0,tt_error_func,
236,STTA+3,1.8664188153151265e-07,0.7265144160483032,85.0,88.0,100.0,85.0,1.0,tt_error_func,
237,STTA+3,1.0743822226838846e-07,0.8905174019746482,90.0,93.0,100.0,90.0,1.0,tt_error_func,
238,STTA+3,2.0615587256178588e-08,0.8305085969623178,95.0,98.0,100.0,95.0,1.0,tt_error_func,
239,STTA+3,5.955320980695858e-11,0.9755274790804833,100.0,103.0,100.0,100.0,1.0,tt_error_func,
240,STTA+3,1.5330520129014569,0.3196532540023327,5.0,8.0,100.0,5.0,2.0,tt_error_func,
241,STTA+3,1.75800513640586,0.36962850694544613,10.0,13.0,100.0,10.0,2.0,tt_error_func,
242,STTA+3,0.5915433793820962,0.44408964505419135,15.0,18.0,100.0,15.0,2.0,tt_error_func,
243,STTA+3,0.2630663867464257,0.4208130540791899,20.0,23.0,100.0,20.0,2.0,tt_error_func,
244,STTA+3,0.08049701250409132,0.4459272148087621,25.0,28.0,100.0,25.0,2.0,tt_error_func,
245,STTA+3,0.039236939982312286,0.5504512281622738,30.0,33.0,100.0,30.0,2.0,tt_error_func,
246,STTA+3,0.010258788232854062,0.588580016978085,35.0,38.0,100.0,35.0,2.0,tt_error_func,
247,STTA+3,0.003603754673824432,0.5579382330179214,40.0,43.0,100.0,40.0,2.0,tt_error_func,
